mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.055073213577270505,0.007024890857165433,0.003124713897705078,0.006249427795410156,5,50,"{'max_depth': 5, 'n_estimators': 50}",0.9214285714285714,0.8714285714285714,0.9142857142857143,0.8857142857142857,0.9642857142857143,0.9114285714285714,0.03213491965486284,13
0.07210111618041992,0.007812065408060739,0.009383010864257812,0.007661206791244024,5,75,"{'max_depth': 5, 'n_estimators': 75}",0.9214285714285714,0.8714285714285714,0.9071428571428571,0.8928571428571429,0.95,0.9085714285714286,0.02649605284427341,14
0.09294285774230956,0.010222223175169931,0.012362527847290038,0.007900054041098106,5,100,"{'max_depth': 5, 'n_estimators': 100}",0.9357142857142857,0.8714285714285714,0.9071428571428571,0.8928571428571429,0.9571428571428572,0.9128571428571428,0.03043896536094646,11
0.2127232551574707,0.03365406444626461,0.017793607711791993,0.00902221976458663,5,200,"{'max_depth': 5, 'n_estimators': 200}",0.9285714285714286,0.8714285714285714,0.9142857142857143,0.8785714285714286,0.9714285714285714,0.9128571428571428,0.036253078686998626,11
0.43753705024719236,0.056268448125488084,0.04824848175048828,0.007862817749728355,5,300,"{'max_depth': 5, 'n_estimators': 300}",0.9214285714285714,0.8714285714285714,0.9142857142857143,0.8714285714285714,0.9642857142857143,0.9085714285714286,0.034817307448439826,14
0.12536358833312988,0.020115652104490844,0.00920109748840332,0.005967387720793261,10,50,"{'max_depth': 10, 'n_estimators': 50}",0.9214285714285714,0.8928571428571429,0.9214285714285714,0.9,0.9642857142857143,0.9199999999999999,0.024907993963089556,10
0.17685894966125487,0.01876738937288757,0.018481636047363283,0.003086943202727513,10,75,"{'max_depth': 10, 'n_estimators': 75}",0.9357142857142857,0.9,0.9357142857142857,0.9071428571428571,0.9571428571428572,0.927142857142857,0.020898198340468282,7
0.17229490280151366,0.025921670638374972,0.01289668083190918,0.010990247281546992,10,100,"{'max_depth': 10, 'n_estimators': 100}",0.9428571428571428,0.9,0.9428571428571428,0.8928571428571429,0.9571428571428572,0.927142857142857,0.025714285714285703,7
0.28404436111450193,0.04807871419406751,0.02164740562438965,0.009562106252160144,10,200,"{'max_depth': 10, 'n_estimators': 200}",0.95,0.9071428571428571,0.9428571428571428,0.8928571428571429,0.9642857142857143,0.9314285714285713,0.026954231805875993,2
0.5125847339630127,0.12294155898813725,0.05094718933105469,0.02750998994460954,10,300,"{'max_depth': 10, 'n_estimators': 300}",0.95,0.8928571428571429,0.9357142857142857,0.9,0.9642857142857143,0.9285714285714285,0.027847983842311307,5
0.06977453231811523,0.010355042871642638,0.011593770980834962,0.006575767336812102,15,50,"{'max_depth': 15, 'n_estimators': 50}",0.9285714285714286,0.9,0.9285714285714286,0.8928571428571429,0.9714285714285714,0.9242857142857142,0.02770102775666472,9
0.13980474472045898,0.017219642983296004,0.016739559173583985,0.005084391208926536,15,75,"{'max_depth': 15, 'n_estimators': 75}",0.9142857142857143,0.9,0.95,0.9142857142857143,0.9642857142857143,0.9285714285714285,0.024327694808466287,5
0.18011980056762694,0.005166219492453659,0.018626928329467773,0.003712955958528224,15,100,"{'max_depth': 15, 'n_estimators': 100}",0.9428571428571428,0.9,0.95,0.9,0.9642857142857143,0.9314285714285713,0.026572964625340378,2
0.3332014560699463,0.07028550472085475,0.03457508087158203,0.003569050645380422,15,200,"{'max_depth': 15, 'n_estimators': 200}",0.9428571428571428,0.9,0.95,0.8928571428571429,0.9642857142857143,0.9299999999999999,0.02835633320182742,4
0.5283157825469971,0.042221213708124684,0.049334239959716794,0.01829983191439637,15,300,"{'max_depth': 15, 'n_estimators': 300}",0.9428571428571428,0.9,0.9428571428571428,0.9071428571428571,0.9714285714285714,0.9328571428571427,0.026186146828319073,1
