mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.046913528442382814,5.1237833422415246e-05,0.0031258106231689454,0.006251621246337891,5,50,"{'max_depth': 5, 'n_estimators': 50}",0.9214285714285714,0.8714285714285714,0.9142857142857143,0.8857142857142857,0.9642857142857143,0.9114285714285714,0.03213491965486284,13
0.0687488079071045,0.007654462366455392,0.006250190734863281,0.007654889071505484,5,75,"{'max_depth': 5, 'n_estimators': 75}",0.9214285714285714,0.8714285714285714,0.9071428571428571,0.8928571428571429,0.95,0.9085714285714286,0.02649605284427341,14
0.09686880111694336,0.006236768101301879,0.0,0.0,5,100,"{'max_depth': 5, 'n_estimators': 100}",0.9357142857142857,0.8714285714285714,0.9071428571428571,0.8928571428571429,0.9571428571428572,0.9128571428571428,0.03043896536094646,11
0.17187809944152832,1.3783810909917646e-05,0.018751859664916992,0.00625240896293118,5,200,"{'max_depth': 5, 'n_estimators': 200}",0.9285714285714286,0.8714285714285714,0.9142857142857143,0.8785714285714286,0.9714285714285714,0.9128571428571428,0.036253078686998626,11
0.27812881469726564,0.018220416964001982,0.015623521804809571,5.338447010138314e-06,5,300,"{'max_depth': 5, 'n_estimators': 300}",0.9214285714285714,0.8714285714285714,0.9142857142857143,0.8714285714285714,0.9642857142857143,0.9085714285714286,0.034817307448439826,14
0.05937361717224121,0.011690718704090873,0.0031261444091796875,0.006252288818359375,10,50,"{'max_depth': 10, 'n_estimators': 50}",0.9214285714285714,0.8928571428571429,0.9214285714285714,0.9,0.9642857142857143,0.9199999999999999,0.024907993963089556,10
0.07499971389770507,0.006251645432576264,0.0062481403350830075,0.007652378235593502,10,75,"{'max_depth': 10, 'n_estimators': 75}",0.9357142857142857,0.9,0.9357142857142857,0.9071428571428571,0.9571428571428572,0.927142857142857,0.020898198340468282,7
0.11488838195800781,0.010946789415261497,0.004295778274536133,0.0060990349304317435,10,100,"{'max_depth': 10, 'n_estimators': 100}",0.9428571428571428,0.9,0.9428571428571428,0.8928571428571429,0.9571428571428572,0.927142857142857,0.025714285714285703,7
0.20312056541442872,0.013973666411014744,0.01875314712524414,0.006246162710152455,10,200,"{'max_depth': 10, 'n_estimators': 200}",0.95,0.9071428571428571,0.9428571428571428,0.8928571428571429,0.9642857142857143,0.9314285714285713,0.026954231805875993,2
0.312884521484375,0.017393766700678322,0.03150782585144043,0.010283971516644551,10,300,"{'max_depth': 10, 'n_estimators': 300}",0.95,0.8928571428571429,0.9357142857142857,0.9,0.9642857142857143,0.9285714285714285,0.027847983842311307,5
0.05310807228088379,0.00766503410863261,0.0031420707702636717,0.006284141540527343,15,50,"{'max_depth': 15, 'n_estimators': 50}",0.9285714285714286,0.9,0.9285714285714286,0.8928571428571429,0.9714285714285714,0.9242857142857142,0.02770102775666472,9
0.07500138282775878,0.0062467603700790885,0.006249475479125977,0.007654013793891909,15,75,"{'max_depth': 15, 'n_estimators': 75}",0.9142857142857143,0.9,0.95,0.9142857142857143,0.9642857142857143,0.9285714285714285,0.024327694808466287,5
0.10968136787414551,0.000392209099277312,0.0031250953674316407,0.006250190734863282,15,100,"{'max_depth': 15, 'n_estimators': 100}",0.9428571428571428,0.9,0.95,0.9,0.9642857142857143,0.9314285714285713,0.026572964625340378,2
0.23357763290405273,0.03921175591773066,0.018772363662719727,0.006302953088154791,15,200,"{'max_depth': 15, 'n_estimators': 200}",0.9428571428571428,0.9,0.95,0.8928571428571429,0.9642857142857143,0.9299999999999999,0.02835633320182742,4
0.4754805564880371,0.0719299768231506,0.05138516426086426,0.0206371656444276,15,300,"{'max_depth': 15, 'n_estimators': 300}",0.9428571428571428,0.9,0.9428571428571428,0.9071428571428571,0.9714285714285714,0.9328571428571427,0.026186146828319073,1
