mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.06486477851867675,0.0011650162169941447,0.007140588760375976,0.0008270361518588964,5,50,"{'max_depth': 5, 'n_estimators': 50}",0.9214285714285714,0.8714285714285714,0.9142857142857143,0.8857142857142857,0.9642857142857143,0.9114285714285714,0.03213491965486284,13
0.14175763130187988,0.053123677712253695,0.012750864028930664,0.002270818839918258,5,75,"{'max_depth': 5, 'n_estimators': 75}",0.9214285714285714,0.8714285714285714,0.9071428571428571,0.8928571428571429,0.95,0.9085714285714286,0.02649605284427341,14
0.16573553085327147,0.024402418115648694,0.017087697982788086,0.003068044361130687,5,100,"{'max_depth': 5, 'n_estimators': 100}",0.9357142857142857,0.8714285714285714,0.9071428571428571,0.8928571428571429,0.9571428571428572,0.9128571428571428,0.03043896536094646,11
0.3482576847076416,0.04924355729053177,0.033712244033813475,0.004718871047829146,5,200,"{'max_depth': 5, 'n_estimators': 200}",0.9285714285714286,0.8714285714285714,0.9142857142857143,0.8785714285714286,0.9714285714285714,0.9128571428571428,0.036253078686998626,11
0.726504135131836,0.11782156197752744,0.07945795059204101,0.019497938856515226,5,300,"{'max_depth': 5, 'n_estimators': 300}",0.9214285714285714,0.8714285714285714,0.9142857142857143,0.8714285714285714,0.9642857142857143,0.9085714285714286,0.034817307448439826,14
0.17003517150878905,0.01955290380023002,0.022077322006225586,0.004696009520289456,10,50,"{'max_depth': 10, 'n_estimators': 50}",0.9214285714285714,0.8928571428571429,0.9214285714285714,0.9,0.9642857142857143,0.9199999999999999,0.024907993963089556,10
0.2092525005340576,0.02700013158952103,0.021960067749023437,0.002515668217917484,10,75,"{'max_depth': 10, 'n_estimators': 75}",0.9357142857142857,0.9,0.9357142857142857,0.9071428571428571,0.9571428571428572,0.927142857142857,0.020898198340468282,7
0.27019333839416504,0.012016199944124268,0.02527003288269043,0.0023579562055061672,10,100,"{'max_depth': 10, 'n_estimators': 100}",0.9428571428571428,0.9,0.9428571428571428,0.8928571428571429,0.9571428571428572,0.927142857142857,0.025714285714285703,7
0.5407340049743652,0.0678669942777883,0.05295882225036621,0.007766557561547667,10,200,"{'max_depth': 10, 'n_estimators': 200}",0.95,0.9071428571428571,0.9428571428571428,0.8928571428571429,0.9642857142857143,0.9314285714285713,0.026954231805875993,2
0.8046427726745605,0.06778879696862666,0.08428392410278321,0.01578500345643813,10,300,"{'max_depth': 10, 'n_estimators': 300}",0.95,0.8928571428571429,0.9357142857142857,0.9,0.9642857142857143,0.9285714285714285,0.027847983842311307,5
0.16120672225952148,0.02368964303273155,0.018321895599365236,0.0030462380185637145,15,50,"{'max_depth': 15, 'n_estimators': 50}",0.9285714285714286,0.9,0.9285714285714286,0.8928571428571429,0.9714285714285714,0.9242857142857142,0.02770102775666472,9
0.19122743606567383,0.022802176789445624,0.020429325103759766,0.0036664549474694236,15,75,"{'max_depth': 15, 'n_estimators': 75}",0.9142857142857143,0.9,0.95,0.9142857142857143,0.9642857142857143,0.9285714285714285,0.024327694808466287,5
0.27350172996520994,0.018785970745204165,0.02647848129272461,0.006355814022393563,15,100,"{'max_depth': 15, 'n_estimators': 100}",0.9428571428571428,0.9,0.95,0.9,0.9642857142857143,0.9314285714285713,0.026572964625340378,2
0.5107610702514649,0.036476439713622404,0.053066158294677736,0.014753903642738427,15,200,"{'max_depth': 15, 'n_estimators': 200}",0.9428571428571428,0.9,0.95,0.8928571428571429,0.9642857142857143,0.9299999999999999,0.02835633320182742,4
0.7021848678588867,0.09342612657999615,0.06346912384033203,0.014049516672379997,15,300,"{'max_depth': 15, 'n_estimators': 300}",0.9428571428571428,0.9,0.9428571428571428,0.9071428571428571,0.9714285714285714,0.9328571428571427,0.026186146828319073,1
